region_complete,lat,long
Valpolicella Ripasso Valpantena  ,45.548040,10.937060
Erice  ,38.029450,12.539100
Santa Barbara County Central Coast,34.888061,-120.380581
Lamezia  ,51.208060,4.389710
Valpolicella Ripasso Valpantena Superiore  ,46.721630,-92.103950
Colli di Salerno  ,33.054369,-96.784026
Corton-Rognet  ,45.795980,3.548610
Breganze  ,45.705900,11.565120
Orange  ,33.787870,-117.850710
Côte Chalonnaise  ,46.769335,4.716126
Côtes de Provence Sainte-Victoire  ,43.441240,5.679310
Terre Siciliane  ,37.727040,12.475720
Fronton  ,43.840160,1.388440
Colli Trevigiani  ,45.735680,12.065860
Rubicone  ,44.155200,12.456080
California California Other,34.127170,-117.334780
Chablis  ,47.815190,3.801230
Saint-Croix-du-Mont  ,44.593030,-0.280550
Ohio  ,40.413057,-82.711215
Bordeaux Côtes de Francs   ,48.900610,2.672440
Prosecco di Conegliano  ,45.890560,12.303260
Montepulciano d'Abruzzo Colline Teramane  ,43.129372,11.827788
Dundee Hills Willamette Valley,42.108895,-88.272397
Pommard  ,47.008080,4.796950
Fara  ,11.422070,-2.709410
Mendocino Mendocino/Lake Counties,39.307620,-123.798920
Crémant de Die  ,44.755530,5.368780
Coteaux du Layon  ,47.330874,-0.672209
Somontano  ,42.033330,-0.333330
Napa  ,38.299110,-122.285410
Coste della Sesia  ,-8.401200,116.214300
Alta Mesa Central Valley,33.261576,-117.085591
Lake Erie North Shore  ,28.859930,-81.684690
Cariñena  ,41.340680,-1.223460
Coteaux du Tricastin  ,44.350000,4.766670
Bolgheri Sassicaia  ,43.233910,10.616000
Loazzolo  ,44.670010,8.257730
Soave  ,45.416880,11.247960
Rosso Piceno Superiore  ,42.952695,13.765380
Vin de Pays des Côtes de Thongue  ,18.666670,105.666670
Barossa  ,-34.650000,138.833330
Marsala  ,37.800040,12.435110
Los Carneros Napa-Sonoma,38.225030,-122.457383
Catalunya  ,41.798510,1.528906
Lambrusco Reggiano  ,44.504230,11.367690
Lake Michigan Shore  ,43.845127,-85.073194
Primitivo del Tarantino  ,40.358345,17.354152
Elkton Oregon Southern Oregon,42.342283,-122.880282
Todi  ,42.778460,12.412120
Grands-Echezeaux  ,46.349680,1.394290
Albana di Romagna  ,44.500000,12.250000
Crémant de Jura  ,46.729403,5.697291
Falerno del Massico  ,41.163930,13.947079
Puget Sound Washington Other,47.833150,-122.434580
Snipes Mountain Columbia Valley,13.369260,-81.369800
Colli Etruria Centrale  ,45.349200,11.676300
Vin Santo di Montepulciano  ,43.098200,11.785320
Vin de Pays du Val de Loire  ,45.378400,4.304715
Knights Valley Sonoma,36.368570,-94.302940
Banyuls  ,-37.733860,145.085760
Listrac-Médoc  ,45.074160,-0.792580
Gavi  ,44.688310,8.806780
North Yuba Sierra Foothills,38.894691,-121.075200
Lugana Superiore  ,45.327110,14.443630
Bonnezeaux  ,47.276620,-0.485490
Friuli Venezia Giulia  ,46.154310,13.052973
Prosecco Superiore di Cartizze  ,45.708010,13.733770
Amador County Sierra Foothills,38.337989,-120.755387
Tulum Valley  ,-31.553940,-68.468080
Pacherenc du Vic Bilh  ,41.933920,2.253210
Beechworth  ,-36.361880,146.683860
Clarksburg Central Valley,38.392625,-121.577357
Valdeorras  ,42.610160,-6.424860
San Rafael  ,-34.617620,-68.325620
Central Victoria  ,20.790520,-87.278900
San Francisco Bay-Livermore Valley Central Coast,37.530884,-121.928182
Biferno Rosso  ,16.499220,-15.809670
Saint-Véran  ,44.113450,5.059540
Alto Adige Valle Isarco  ,46.658330,11.921520
Biferno Bianco  ,38.087310,16.152100
